Date,TLT,IEF,SHY,TIP,IVV,LQD,DJP,GLD
2013-01-23,99.5056610107422,93.22998809814452,78.64073944091797,108.4325942993164,130.15364074707028,94.31334686279295,41.97999954223633,163.2100067138672
2013-01-24,99.15765380859376,93.07345581054688,78.64073944091797,108.37004852294922,130.18833923339844,94.1806411743164,41.84000015258789,161.4199981689453
2013-01-25,97.79877471923828,92.4560775756836,78.603515625,107.914306640625,130.82981872558594,93.75130462646484,41.68999862670898,160.64999389648438
2013-01-28,97.44245910644531,92.26480102539062,78.57553100585938,107.77135467529295,130.82981872558594,93.67321014404295,41.599998474121094,160.2899932861328
2013-01-29,96.90388488769531,92.12565612792969,78.58487701416016,107.57470703125,131.26327514648438,93.46244049072266,41.7599983215332,160.99000549316406
2013-01-30,96.7381591796875,92.17784118652344,78.6128158569336,107.6104736328125,130.77777099609378,93.15019989013672,42.36999893188477,162.19000244140625
2013-01-31,97.21048736572266,92.256103515625,78.62214660644531,107.93218994140624,130.43106079101562,93.22052001953124,42.29999923706055,161.1999969482422
2013-02-01,95.9482421875,91.94268035888672,78.61373901367188,107.40492248535156,131.79203796386722,92.97853088378906,42.31999969482422,161.4499969482422
2013-02-04,97.17724609375,92.47378540039062,78.63235473632812,108.10196685791016,130.35304260253906,93.29173278808594,42.22000122070313,162.0
2013-02-05,96.31361389160156,92.14292907714844,78.63235473632812,107.7892074584961,131.55799865722656,93.10381317138672,42.38999938964844,161.9600067138672
2013-02-06,97.1025390625,92.42152404785156,78.65100860595703,107.914306640625,131.73139953613278,93.34654998779295,42.290000915527344,162.38999938964844
2013-02-07,96.88663482666016,92.46504974365234,78.65100860595703,107.81597900390624,131.57533264160156,93.37786865234376,41.84000015258789,161.83999633789062
2013-02-08,97.26031494140624,92.53472900390624,78.66031646728516,107.7802734375,132.2427978515625,93.58145141601562,41.86000061035156,161.57000732421875
2013-02-11,97.18553161621094,92.43894958496094,78.63235473632812,107.69983673095705,132.19949340820312,93.53450012207031,41.63000106811523,159.6999969482422
2013-02-12,96.94475555419922,92.34317779541016,78.61373901367188,107.69091796875,132.49420166015622,93.44051361083984,41.54999923706055,159.88999938964844
2013-02-13,96.1557846069336,92.02100372314452,78.60440826416016,107.38706970214844,132.58091735839844,93.22124481201172,41.58000183105469,159.0500030517578
